task_id,train_model,loss_ndre_w,loss_ndvi_w,dir_name,model_name,status
task_003,checkpoints/hpfat/stage1/hpfat-andhra-re_0.0-vi_0.2_stage1_best.pth,0.0,0.2,hpfat/stage2/re_0.0_vi_0.2,hpfat-andhra-stage2-re_0.0-vi_0.2,pending
task_009,checkpoints/hpfat/stage1/hpfat-andhra-re_0.0-vi_0.8_stage1_best.pth,0.0,0.8,hpfat/stage2/re_0.0_vi_0.8,hpfat-andhra-stage2-re_0.0-vi_0.8,pending
task_015,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.3_stage1_best.pth,0.1,0.3,hpfat/stage2/re_0.1_vi_0.3,hpfat-andhra-stage2-re_0.1-vi_0.3,pending
task_021,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.9_stage1_best.pth,0.1,0.9,hpfat/stage2/re_0.1_vi_0.9,hpfat-andhra-stage2-re_0.1-vi_0.9,pending
task_027,checkpoints/hpfat/stage1/hpfat-andhra-re_0.2-vi_0.4_stage1_best.pth,0.2,0.4,hpfat/stage2/re_0.2_vi_0.4,hpfat-andhra-stage2-re_0.2-vi_0.4,pending
task_033,checkpoints/hpfat/stage1/hpfat-andhra-re_0.2-vi_1.0_stage1_best.pth,0.2,1.0,hpfat/stage2/re_0.2_vi_1.0,hpfat-andhra-stage2-re_0.2-vi_1.0,pending
task_039,checkpoints/hpfat/stage1/hpfat-andhra-re_0.3-vi_0.5_stage1_best.pth,0.3,0.5,hpfat/stage2/re_0.3_vi_0.5,hpfat-andhra-stage2-re_0.3-vi_0.5,pending
task_045,checkpoints/hpfat/stage1/hpfat-andhra-re_0.4-vi_0.0_stage1_best.pth,0.4,0.0,hpfat/stage2/re_0.4_vi_0.0,hpfat-andhra-stage2-re_0.4-vi_0.0,pending
task_051,checkpoints/hpfat/stage1/hpfat-andhra-re_0.4-vi_0.6_stage1_best.pth,0.4,0.6,hpfat/stage2/re_0.4_vi_0.6,hpfat-andhra-stage2-re_0.4-vi_0.6,pending
task_057,checkpoints/hpfat/stage1/hpfat-andhra-re_0.5-vi_0.1_stage1_best.pth,0.5,0.1,hpfat/stage2/re_0.5_vi_0.1,hpfat-andhra-stage2-re_0.5-vi_0.1,pending
task_063,checkpoints/hpfat/stage1/hpfat-andhra-re_0.5-vi_0.7_stage1_best.pth,0.5,0.7,hpfat/stage2/re_0.5_vi_0.7,hpfat-andhra-stage2-re_0.5-vi_0.7,pending
task_069,checkpoints/hpfat/stage1/hpfat-andhra-re_0.6-vi_0.2_stage1_best.pth,0.6,0.2,hpfat/stage2/re_0.6_vi_0.2,hpfat-andhra-stage2-re_0.6-vi_0.2,pending
task_075,checkpoints/hpfat/stage1/hpfat-andhra-re_0.6-vi_0.8_stage1_best.pth,0.6,0.8,hpfat/stage2/re_0.6_vi_0.8,hpfat-andhra-stage2-re_0.6-vi_0.8,pending
task_081,checkpoints/hpfat/stage1/hpfat-andhra-re_0.7-vi_0.3_stage1_best.pth,0.7,0.3,hpfat/stage2/re_0.7_vi_0.3,hpfat-andhra-stage2-re_0.7-vi_0.3,pending
task_087,checkpoints/hpfat/stage1/hpfat-andhra-re_0.7-vi_0.9_stage1_best.pth,0.7,0.9,hpfat/stage2/re_0.7_vi_0.9,hpfat-andhra-stage2-re_0.7-vi_0.9,pending
task_093,checkpoints/hpfat/stage1/hpfat-andhra-re_0.8-vi_0.4_stage1_best.pth,0.8,0.4,hpfat/stage2/re_0.8_vi_0.4,hpfat-andhra-stage2-re_0.8-vi_0.4,pending
task_099,checkpoints/hpfat/stage1/hpfat-andhra-re_0.8-vi_1.0_stage1_best.pth,0.8,1.0,hpfat/stage2/re_0.8_vi_1.0,hpfat-andhra-stage2-re_0.8-vi_1.0,pending
task_105,checkpoints/hpfat/stage1/hpfat-andhra-re_0.9-vi_0.5_stage1_best.pth,0.9,0.5,hpfat/stage2/re_0.9_vi_0.5,hpfat-andhra-stage2-re_0.9-vi_0.5,pending
task_111,checkpoints/hpfat/stage1/hpfat-andhra-re_1.0-vi_0.0_stage1_best.pth,1.0,0.0,hpfat/stage2/re_1.0_vi_0.0,hpfat-andhra-stage2-re_1.0-vi_0.0,pending
task_117,checkpoints/hpfat/stage1/hpfat-andhra-re_1.0-vi_0.6_stage1_best.pth,1.0,0.6,hpfat/stage2/re_1.0_vi_0.6,hpfat-andhra-stage2-re_1.0-vi_0.6,pending
