task_id,train_model,loss_ndre_w,loss_ndvi_w,dir_name,model_name,status
task_001,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.5_stage1_best.pth,0.0,0.0,hpfat/stage2/re_0.0_vi_0.0,hpfat-andhra-stage2-re_0.0-vi_0.0,pending
task_007,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.5_stage1_best.pth,0.0,0.6,hpfat/stage2/re_0.0_vi_0.6,hpfat-andhra-stage2-re_0.0-vi_0.6,pending
task_013,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.5_stage1_best.pth,0.1,0.1,hpfat/stage2/re_0.1_vi_0.1,hpfat-andhra-stage2-re_0.1-vi_0.1,pending
task_019,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.5_stage1_best.pth,0.1,0.7,hpfat/stage2/re_0.1_vi_0.7,hpfat-andhra-stage2-re_0.1-vi_0.7,pending
task_025,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.5_stage1_best.pth,0.2,0.2,hpfat/stage2/re_0.2_vi_0.2,hpfat-andhra-stage2-re_0.2-vi_0.2,pending
task_031,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.5_stage1_best.pth,0.2,0.8,hpfat/stage2/re_0.2_vi_0.8,hpfat-andhra-stage2-re_0.2-vi_0.8,pending
task_037,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.5_stage1_best.pth,0.3,0.3,hpfat/stage2/re_0.3_vi_0.3,hpfat-andhra-stage2-re_0.3-vi_0.3,pending
task_043,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.5_stage1_best.pth,0.3,0.9,hpfat/stage2/re_0.3_vi_0.9,hpfat-andhra-stage2-re_0.3-vi_0.9,pending
task_049,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.5_stage1_best.pth,0.4,0.4,hpfat/stage2/re_0.4_vi_0.4,hpfat-andhra-stage2-re_0.4-vi_0.4,pending
task_055,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.5_stage1_best.pth,0.4,1.0,hpfat/stage2/re_0.4_vi_1.0,hpfat-andhra-stage2-re_0.4-vi_1.0,pending
task_061,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.5_stage1_best.pth,0.5,0.5,hpfat/stage2/re_0.5_vi_0.5,hpfat-andhra-stage2-re_0.5-vi_0.5,pending
task_067,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.5_stage1_best.pth,0.6,0.0,hpfat/stage2/re_0.6_vi_0.0,hpfat-andhra-stage2-re_0.6-vi_0.0,pending
task_073,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.5_stage1_best.pth,0.6,0.6,hpfat/stage2/re_0.6_vi_0.6,hpfat-andhra-stage2-re_0.6-vi_0.6,pending
task_079,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.5_stage1_best.pth,0.7,0.1,hpfat/stage2/re_0.7_vi_0.1,hpfat-andhra-stage2-re_0.7-vi_0.1,pending
task_085,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.5_stage1_best.pth,0.7,0.7,hpfat/stage2/re_0.7_vi_0.7,hpfat-andhra-stage2-re_0.7-vi_0.7,pending
task_091,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.5_stage1_best.pth,0.8,0.2,hpfat/stage2/re_0.8_vi_0.2,hpfat-andhra-stage2-re_0.8-vi_0.2,pending
task_097,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.5_stage1_best.pth,0.8,0.8,hpfat/stage2/re_0.8_vi_0.8,hpfat-andhra-stage2-re_0.8-vi_0.8,pending
task_103,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.5_stage1_best.pth,0.9,0.3,hpfat/stage2/re_0.9_vi_0.3,hpfat-andhra-stage2-re_0.9-vi_0.3,pending
task_109,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.5_stage1_best.pth,0.9,0.9,hpfat/stage2/re_0.9_vi_0.9,hpfat-andhra-stage2-re_0.9-vi_0.9,pending
task_115,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.5_stage1_best.pth,1.0,0.4,hpfat/stage2/re_1.0_vi_0.4,hpfat-andhra-stage2-re_1.0-vi_0.4,pending
task_121,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.5_stage1_best.pth,1.0,1.0,hpfat/stage2/re_1.0_vi_1.0,hpfat-andhra-stage2-re_1.0-vi_1.0,pending
