task_id,train_model,loss_ndre_w,loss_ndvi_w,dir_name,model_name,status
task_001,checkpoints/hpfat/stage1/hpfat-andhra-re_0.0-vi_0.0_stage1_best.pth,0.0,0.0,hpfat/stage2/re_0.0_vi_0.0,hpfat-andhra-stage2-re_0.0-vi_0.0,pending
task_002,checkpoints/hpfat/stage1/hpfat-andhra-re_0.0-vi_0.1_stage1_best.pth,0.0,0.1,hpfat/stage2/re_0.0_vi_0.1,hpfat-andhra-stage2-re_0.0-vi_0.1,pending
task_003,checkpoints/hpfat/stage1/hpfat-andhra-re_0.0-vi_0.2_stage1_best.pth,0.0,0.2,hpfat/stage2/re_0.0_vi_0.2,hpfat-andhra-stage2-re_0.0-vi_0.2,pending
task_004,checkpoints/hpfat/stage1/hpfat-andhra-re_0.0-vi_0.3_stage1_best.pth,0.0,0.3,hpfat/stage2/re_0.0_vi_0.3,hpfat-andhra-stage2-re_0.0-vi_0.3,pending
task_005,checkpoints/hpfat/stage1/hpfat-andhra-re_0.0-vi_0.4_stage1_best.pth,0.0,0.4,hpfat/stage2/re_0.0_vi_0.4,hpfat-andhra-stage2-re_0.0-vi_0.4,pending
task_006,checkpoints/hpfat/stage1/hpfat-andhra-re_0.0-vi_0.5_stage1_best.pth,0.0,0.5,hpfat/stage2/re_0.0_vi_0.5,hpfat-andhra-stage2-re_0.0-vi_0.5,pending
task_007,checkpoints/hpfat/stage1/hpfat-andhra-re_0.0-vi_0.6_stage1_best.pth,0.0,0.6,hpfat/stage2/re_0.0_vi_0.6,hpfat-andhra-stage2-re_0.0-vi_0.6,pending
task_008,checkpoints/hpfat/stage1/hpfat-andhra-re_0.0-vi_0.7_stage1_best.pth,0.0,0.7,hpfat/stage2/re_0.0_vi_0.7,hpfat-andhra-stage2-re_0.0-vi_0.7,pending
task_009,checkpoints/hpfat/stage1/hpfat-andhra-re_0.0-vi_0.8_stage1_best.pth,0.0,0.8,hpfat/stage2/re_0.0_vi_0.8,hpfat-andhra-stage2-re_0.0-vi_0.8,pending
task_010,checkpoints/hpfat/stage1/hpfat-andhra-re_0.0-vi_0.9_stage1_best.pth,0.0,0.9,hpfat/stage2/re_0.0_vi_0.9,hpfat-andhra-stage2-re_0.0-vi_0.9,pending
task_011,checkpoints/hpfat/stage1/hpfat-andhra-re_0.0-vi_1.0_stage1_best.pth,0.0,1.0,hpfat/stage2/re_0.0_vi_1.0,hpfat-andhra-stage2-re_0.0-vi_1.0,pending
task_012,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.0_stage1_best.pth,0.1,0.0,hpfat/stage2/re_0.1_vi_0.0,hpfat-andhra-stage2-re_0.1-vi_0.0,pending
task_013,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.1_stage1_best.pth,0.1,0.1,hpfat/stage2/re_0.1_vi_0.1,hpfat-andhra-stage2-re_0.1-vi_0.1,pending
task_014,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.2_stage1_best.pth,0.1,0.2,hpfat/stage2/re_0.1_vi_0.2,hpfat-andhra-stage2-re_0.1-vi_0.2,pending
task_015,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.3_stage1_best.pth,0.1,0.3,hpfat/stage2/re_0.1_vi_0.3,hpfat-andhra-stage2-re_0.1-vi_0.3,pending
task_016,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.4_stage1_best.pth,0.1,0.4,hpfat/stage2/re_0.1_vi_0.4,hpfat-andhra-stage2-re_0.1-vi_0.4,pending
task_017,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.5_stage1_best.pth,0.1,0.5,hpfat/stage2/re_0.1_vi_0.5,hpfat-andhra-stage2-re_0.1-vi_0.5,pending
task_018,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.6_stage1_best.pth,0.1,0.6,hpfat/stage2/re_0.1_vi_0.6,hpfat-andhra-stage2-re_0.1-vi_0.6,pending
task_019,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.7_stage1_best.pth,0.1,0.7,hpfat/stage2/re_0.1_vi_0.7,hpfat-andhra-stage2-re_0.1-vi_0.7,pending
task_020,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.8_stage1_best.pth,0.1,0.8,hpfat/stage2/re_0.1_vi_0.8,hpfat-andhra-stage2-re_0.1-vi_0.8,pending
task_021,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_0.9_stage1_best.pth,0.1,0.9,hpfat/stage2/re_0.1_vi_0.9,hpfat-andhra-stage2-re_0.1-vi_0.9,pending
task_022,checkpoints/hpfat/stage1/hpfat-andhra-re_0.1-vi_1.0_stage1_best.pth,0.1,1.0,hpfat/stage2/re_0.1_vi_1.0,hpfat-andhra-stage2-re_0.1-vi_1.0,pending
task_023,checkpoints/hpfat/stage1/hpfat-andhra-re_0.2-vi_0.0_stage1_best.pth,0.2,0.0,hpfat/stage2/re_0.2_vi_0.0,hpfat-andhra-stage2-re_0.2-vi_0.0,pending
task_024,checkpoints/hpfat/stage1/hpfat-andhra-re_0.2-vi_0.1_stage1_best.pth,0.2,0.1,hpfat/stage2/re_0.2_vi_0.1,hpfat-andhra-stage2-re_0.2-vi_0.1,pending
task_025,checkpoints/hpfat/stage1/hpfat-andhra-re_0.2-vi_0.2_stage1_best.pth,0.2,0.2,hpfat/stage2/re_0.2_vi_0.2,hpfat-andhra-stage2-re_0.2-vi_0.2,pending
task_026,checkpoints/hpfat/stage1/hpfat-andhra-re_0.2-vi_0.3_stage1_best.pth,0.2,0.3,hpfat/stage2/re_0.2_vi_0.3,hpfat-andhra-stage2-re_0.2-vi_0.3,pending
