task_id,train_model,loss_ndre_w,loss_ndvi_w,dir_name,model_name,status
task_006,checkpoints/hpfat/stage2/hpfat-andhra-re_0.0-vi_0.0_stage2_best.pth,0.0,0.5,hpfat/stage3/re_0.0_vi_0.5,hpfat-andhra-stage3-re_0.0-vi_0.5,pending
task_012,checkpoints/hpfat/stage2/hpfat-andhra-re_0.0-vi_0.0_stage2_best.pth,0.1,0.0,hpfat/stage3/re_0.1_vi_0.0,hpfat-andhra-stage3-re_0.1-vi_0.0,pending
task_018,checkpoints/hpfat/stage2/hpfat-andhra-re_0.0-vi_0.0_stage2_best.pth,0.1,0.6,hpfat/stage3/re_0.1_vi_0.6,hpfat-andhra-stage3-re_0.1-vi_0.6,pending
task_024,checkpoints/hpfat/stage2/hpfat-andhra-re_0.0-vi_0.0_stage2_best.pth,0.2,0.1,hpfat/stage3/re_0.2_vi_0.1,hpfat-andhra-stage3-re_0.2-vi_0.1,pending
task_030,checkpoints/hpfat/stage2/hpfat-andhra-re_0.0-vi_0.0_stage2_best.pth,0.2,0.7,hpfat/stage3/re_0.2_vi_0.7,hpfat-andhra-stage3-re_0.2-vi_0.7,pending
task_036,checkpoints/hpfat/stage2/hpfat-andhra-re_0.0-vi_0.0_stage2_best.pth,0.3,0.2,hpfat/stage3/re_0.3_vi_0.2,hpfat-andhra-stage3-re_0.3-vi_0.2,pending
task_042,checkpoints/hpfat/stage2/hpfat-andhra-re_0.0-vi_0.0_stage2_best.pth,0.3,0.8,hpfat/stage3/re_0.3_vi_0.8,hpfat-andhra-stage3-re_0.3-vi_0.8,pending
task_048,checkpoints/hpfat/stage2/hpfat-andhra-re_0.0-vi_0.0_stage2_best.pth,0.4,0.3,hpfat/stage3/re_0.4_vi_0.3,hpfat-andhra-stage3-re_0.4-vi_0.3,pending
task_054,checkpoints/hpfat/stage2/hpfat-andhra-re_0.0-vi_0.0_stage2_best.pth,0.4,0.9,hpfat/stage3/re_0.4_vi_0.9,hpfat-andhra-stage3-re_0.4-vi_0.9,pending
task_060,checkpoints/hpfat/stage2/hpfat-andhra-re_0.0-vi_0.0_stage2_best.pth,0.5,0.4,hpfat/stage3/re_0.5_vi_0.4,hpfat-andhra-stage3-re_0.5-vi_0.4,pending
task_066,checkpoints/hpfat/stage2/hpfat-andhra-re_0.0-vi_0.0_stage2_best.pth,0.5,1.0,hpfat/stage3/re_0.5_vi_1.0,hpfat-andhra-stage3-re_0.5-vi_1.0,pending
task_072,checkpoints/hpfat/stage2/hpfat-andhra-re_0.0-vi_0.0_stage2_best.pth,0.6,0.5,hpfat/stage3/re_0.6_vi_0.5,hpfat-andhra-stage3-re_0.6-vi_0.5,pending
task_078,checkpoints/hpfat/stage2/hpfat-andhra-re_0.0-vi_0.0_stage2_best.pth,0.7,0.0,hpfat/stage3/re_0.7_vi_0.0,hpfat-andhra-stage3-re_0.7-vi_0.0,pending
task_084,checkpoints/hpfat/stage2/hpfat-andhra-re_0.0-vi_0.0_stage2_best.pth,0.7,0.6,hpfat/stage3/re_0.7_vi_0.6,hpfat-andhra-stage3-re_0.7-vi_0.6,pending
task_090,checkpoints/hpfat/stage2/hpfat-andhra-re_0.0-vi_0.0_stage2_best.pth,0.8,0.1,hpfat/stage3/re_0.8_vi_0.1,hpfat-andhra-stage3-re_0.8-vi_0.1,pending
task_096,checkpoints/hpfat/stage2/hpfat-andhra-re_0.0-vi_0.0_stage2_best.pth,0.8,0.7,hpfat/stage3/re_0.8_vi_0.7,hpfat-andhra-stage3-re_0.8-vi_0.7,pending
task_102,checkpoints/hpfat/stage2/hpfat-andhra-re_0.0-vi_0.0_stage2_best.pth,0.9,0.2,hpfat/stage3/re_0.9_vi_0.2,hpfat-andhra-stage3-re_0.9-vi_0.2,pending
task_108,checkpoints/hpfat/stage2/hpfat-andhra-re_0.0-vi_0.0_stage2_best.pth,0.9,0.8,hpfat/stage3/re_0.9_vi_0.8,hpfat-andhra-stage3-re_0.9-vi_0.8,pending
task_114,checkpoints/hpfat/stage2/hpfat-andhra-re_0.0-vi_0.0_stage2_best.pth,1.0,0.3,hpfat/stage3/re_1.0_vi_0.3,hpfat-andhra-stage3-re_1.0-vi_0.3,pending
task_120,checkpoints/hpfat/stage2/hpfat-andhra-re_0.0-vi_0.0_stage2_best.pth,1.0,0.9,hpfat/stage3/re_1.0_vi_0.9,hpfat-andhra-stage3-re_1.0-vi_0.9,pending
