sample_id,rgb_path,synthetic_msi_path,real_msi_path,mask_path,group_id,split
DJI_DateTime_2024_06_04_09_14_0013_lat_10.3013333_lon_105.2719561_alt_20.217m,/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/RGB/DJI_DateTime_2024_06_04_09_14_0013_lat_10.3013333_lon_105.2719561_alt_20.217m.JPG,,"[""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_14_0013_lat_10.3013333_lon_105.2719561_alt_20.217m_G.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_14_0013_lat_10.3013333_lon_105.2719561_alt_20.217m_NIR.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_14_0013_lat_10.3013333_lon_105.2719561_alt_20.217m_R.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_14_0013_lat_10.3013333_lon_105.2719561_alt_20.217m_RE.TIF""]",/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Masks/DJI_DateTime_2024_06_04_09_14_0013_lat_10.3013333_lon_105.2719561_alt_20.217m.png,2024_06_04_09,train
DJI_DateTime_2024_06_04_09_14_0014_lat_10.3013805_lon_105.2719234_alt_20.182m,/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/RGB/DJI_DateTime_2024_06_04_09_14_0014_lat_10.3013805_lon_105.2719234_alt_20.182m.JPG,,"[""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_14_0014_lat_10.3013805_lon_105.2719234_alt_20.182m_G.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_14_0014_lat_10.3013805_lon_105.2719234_alt_20.182m_NIR.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_14_0014_lat_10.3013805_lon_105.2719234_alt_20.182m_R.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_14_0014_lat_10.3013805_lon_105.2719234_alt_20.182m_RE.TIF""]",/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Masks/DJI_DateTime_2024_06_04_09_14_0014_lat_10.3013805_lon_105.2719234_alt_20.182m.png,2024_06_04_09,train
DJI_DateTime_2024_06_04_09_14_0015_lat_10.3014282_lon_105.2718923_alt_20.211m,/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/RGB/DJI_DateTime_2024_06_04_09_14_0015_lat_10.3014282_lon_105.2718923_alt_20.211m.JPG,,"[""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_14_0015_lat_10.3014282_lon_105.2718923_alt_20.211m_G.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_14_0015_lat_10.3014282_lon_105.2718923_alt_20.211m_NIR.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_14_0015_lat_10.3014282_lon_105.2718923_alt_20.211m_R.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_14_0015_lat_10.3014282_lon_105.2718923_alt_20.211m_RE.TIF""]",/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Masks/DJI_DateTime_2024_06_04_09_14_0015_lat_10.3014282_lon_105.2718923_alt_20.211m.png,2024_06_04_09,train
DJI_DateTime_2024_06_04_09_14_0016_lat_10.3014760_lon_105.2718599_alt_20.177m,/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/RGB/DJI_DateTime_2024_06_04_09_14_0016_lat_10.3014760_lon_105.2718599_alt_20.177m.JPG,,"[""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_14_0016_lat_10.3014760_lon_105.2718599_alt_20.177m_G.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_14_0016_lat_10.3014760_lon_105.2718599_alt_20.177m_NIR.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_14_0016_lat_10.3014760_lon_105.2718599_alt_20.177m_R.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_14_0016_lat_10.3014760_lon_105.2718599_alt_20.177m_RE.TIF""]",/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Masks/DJI_DateTime_2024_06_04_09_14_0016_lat_10.3014760_lon_105.2718599_alt_20.177m.png,2024_06_04_09,train
DJI_DateTime_2024_06_04_09_14_0017_lat_10.3015244_lon_105.2718290_alt_20.243m,/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/RGB/DJI_DateTime_2024_06_04_09_14_0017_lat_10.3015244_lon_105.2718290_alt_20.243m.JPG,,"[""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_14_0017_lat_10.3015244_lon_105.2718290_alt_20.243m_G.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_14_0017_lat_10.3015244_lon_105.2718290_alt_20.243m_NIR.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_14_0017_lat_10.3015244_lon_105.2718290_alt_20.243m_R.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_14_0017_lat_10.3015244_lon_105.2718290_alt_20.243m_RE.TIF""]",/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Masks/DJI_DateTime_2024_06_04_09_14_0017_lat_10.3015244_lon_105.2718290_alt_20.243m.png,2024_06_04_09,train
DJI_DateTime_2024_06_04_09_14_0018_lat_10.3015725_lon_105.2717978_alt_20.207m,/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/RGB/DJI_DateTime_2024_06_04_09_14_0018_lat_10.3015725_lon_105.2717978_alt_20.207m.JPG,,"[""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_14_0018_lat_10.3015725_lon_105.2717978_alt_20.207m_G.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_14_0018_lat_10.3015725_lon_105.2717978_alt_20.207m_NIR.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_14_0018_lat_10.3015725_lon_105.2717978_alt_20.207m_R.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_14_0018_lat_10.3015725_lon_105.2717978_alt_20.207m_RE.TIF""]",/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Masks/DJI_DateTime_2024_06_04_09_14_0018_lat_10.3015725_lon_105.2717978_alt_20.207m.png,2024_06_04_09,train
DJI_DateTime_2024_06_04_09_15_0019_lat_10.3016196_lon_105.2717662_alt_20.199m,/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/RGB/DJI_DateTime_2024_06_04_09_15_0019_lat_10.3016196_lon_105.2717662_alt_20.199m.JPG,,"[""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_15_0019_lat_10.3016196_lon_105.2717662_alt_20.199m_G.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_15_0019_lat_10.3016196_lon_105.2717662_alt_20.199m_NIR.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_15_0019_lat_10.3016196_lon_105.2717662_alt_20.199m_R.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_15_0019_lat_10.3016196_lon_105.2717662_alt_20.199m_RE.TIF""]",/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Masks/DJI_DateTime_2024_06_04_09_15_0019_lat_10.3016196_lon_105.2717662_alt_20.199m.png,2024_06_04_09,train
DJI_DateTime_2024_06_04_09_15_0020_lat_10.3016678_lon_105.2717347_alt_20.185m,/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/RGB/DJI_DateTime_2024_06_04_09_15_0020_lat_10.3016678_lon_105.2717347_alt_20.185m.JPG,,"[""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_15_0020_lat_10.3016678_lon_105.2717347_alt_20.185m_G.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_15_0020_lat_10.3016678_lon_105.2717347_alt_20.185m_NIR.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_15_0020_lat_10.3016678_lon_105.2717347_alt_20.185m_R.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_15_0020_lat_10.3016678_lon_105.2717347_alt_20.185m_RE.TIF""]",/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Masks/DJI_DateTime_2024_06_04_09_15_0020_lat_10.3016678_lon_105.2717347_alt_20.185m.png,2024_06_04_09,train
DJI_DateTime_2024_06_04_09_15_0021_lat_10.3017146_lon_105.2717043_alt_20.174m,/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/RGB/DJI_DateTime_2024_06_04_09_15_0021_lat_10.3017146_lon_105.2717043_alt_20.174m.JPG,,"[""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_15_0021_lat_10.3017146_lon_105.2717043_alt_20.174m_G.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_15_0021_lat_10.3017146_lon_105.2717043_alt_20.174m_NIR.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_15_0021_lat_10.3017146_lon_105.2717043_alt_20.174m_R.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_15_0021_lat_10.3017146_lon_105.2717043_alt_20.174m_RE.TIF""]",/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Masks/DJI_DateTime_2024_06_04_09_15_0021_lat_10.3017146_lon_105.2717043_alt_20.174m.png,2024_06_04_09,train
DJI_DateTime_2024_06_04_09_15_0022_lat_10.3017625_lon_105.2716735_alt_20.181m,/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/RGB/DJI_DateTime_2024_06_04_09_15_0022_lat_10.3017625_lon_105.2716735_alt_20.181m.JPG,,"[""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_15_0022_lat_10.3017625_lon_105.2716735_alt_20.181m_G.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_15_0022_lat_10.3017625_lon_105.2716735_alt_20.181m_NIR.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_15_0022_lat_10.3017625_lon_105.2716735_alt_20.181m_R.TIF"", ""/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Multispectral/DJI_DateTime_2024_06_04_09_15_0022_lat_10.3017625_lon_105.2716735_alt_20.181m_RE.TIF""]",/home/hyggestuen/Downloads/_WeedyRice/WeedyRice-RGBMS-DB/Masks/DJI_DateTime_2024_06_04_09_15_0022_lat_10.3017625_lon_105.2716735_alt_20.181m.png,2024_06_04_09,train
