sample_id,split,patch_id,origin,x,y,width,height,weed_pixels,is_empty
DJI_DateTime_2024_06_04_09_14_0013_lat_10.3013333_lon_105.2719561_alt_20.217m,train,DJI_DateTime_2024_06_04_09_14_0013_lat_10.3013333_lon_105.2719561_alt_20.217m__p001,DJI_DateTime_2024_06_04_09_14_0013_lat_10.3013333_lon_105.2719561_alt_20.217m,640,0,640,480,101108,0
DJI_DateTime_2024_06_04_09_14_0013_lat_10.3013333_lon_105.2719561_alt_20.217m,train,DJI_DateTime_2024_06_04_09_14_0013_lat_10.3013333_lon_105.2719561_alt_20.217m__p002,DJI_DateTime_2024_06_04_09_14_0013_lat_10.3013333_lon_105.2719561_alt_20.217m,0,480,640,480,0,1
DJI_DateTime_2024_06_04_09_14_0013_lat_10.3013333_lon_105.2719561_alt_20.217m,train,DJI_DateTime_2024_06_04_09_14_0013_lat_10.3013333_lon_105.2719561_alt_20.217m__p003,DJI_DateTime_2024_06_04_09_14_0013_lat_10.3013333_lon_105.2719561_alt_20.217m,640,480,640,480,99011,0
DJI_DateTime_2024_06_04_09_14_0014_lat_10.3013805_lon_105.2719234_alt_20.182m,train,DJI_DateTime_2024_06_04_09_14_0014_lat_10.3013805_lon_105.2719234_alt_20.182m__p000,DJI_DateTime_2024_06_04_09_14_0014_lat_10.3013805_lon_105.2719234_alt_20.182m,0,0,640,480,0,1
DJI_DateTime_2024_06_04_09_14_0014_lat_10.3013805_lon_105.2719234_alt_20.182m,train,DJI_DateTime_2024_06_04_09_14_0014_lat_10.3013805_lon_105.2719234_alt_20.182m__p001,DJI_DateTime_2024_06_04_09_14_0014_lat_10.3013805_lon_105.2719234_alt_20.182m,640,0,640,480,69447,0
DJI_DateTime_2024_06_04_09_14_0014_lat_10.3013805_lon_105.2719234_alt_20.182m,train,DJI_DateTime_2024_06_04_09_14_0014_lat_10.3013805_lon_105.2719234_alt_20.182m__p002,DJI_DateTime_2024_06_04_09_14_0014_lat_10.3013805_lon_105.2719234_alt_20.182m,0,480,640,480,4085,0
DJI_DateTime_2024_06_04_09_14_0014_lat_10.3013805_lon_105.2719234_alt_20.182m,train,DJI_DateTime_2024_06_04_09_14_0014_lat_10.3013805_lon_105.2719234_alt_20.182m__p003,DJI_DateTime_2024_06_04_09_14_0014_lat_10.3013805_lon_105.2719234_alt_20.182m,640,480,640,480,102203,0
DJI_DateTime_2024_06_04_09_14_0015_lat_10.3014282_lon_105.2718923_alt_20.211m,train,DJI_DateTime_2024_06_04_09_14_0015_lat_10.3014282_lon_105.2718923_alt_20.211m__p001,DJI_DateTime_2024_06_04_09_14_0015_lat_10.3014282_lon_105.2718923_alt_20.211m,640,0,640,480,71204,0
DJI_DateTime_2024_06_04_09_14_0015_lat_10.3014282_lon_105.2718923_alt_20.211m,train,DJI_DateTime_2024_06_04_09_14_0015_lat_10.3014282_lon_105.2718923_alt_20.211m__p003,DJI_DateTime_2024_06_04_09_14_0015_lat_10.3014282_lon_105.2718923_alt_20.211m,640,480,640,480,114217,0
DJI_DateTime_2024_06_04_09_14_0016_lat_10.3014760_lon_105.2718599_alt_20.177m,train,DJI_DateTime_2024_06_04_09_14_0016_lat_10.3014760_lon_105.2718599_alt_20.177m__p000,DJI_DateTime_2024_06_04_09_14_0016_lat_10.3014760_lon_105.2718599_alt_20.177m,0,0,640,480,2209,0
DJI_DateTime_2024_06_04_09_14_0016_lat_10.3014760_lon_105.2718599_alt_20.177m,train,DJI_DateTime_2024_06_04_09_14_0016_lat_10.3014760_lon_105.2718599_alt_20.177m__p001,DJI_DateTime_2024_06_04_09_14_0016_lat_10.3014760_lon_105.2718599_alt_20.177m,640,0,640,480,80270,0
DJI_DateTime_2024_06_04_09_14_0016_lat_10.3014760_lon_105.2718599_alt_20.177m,train,DJI_DateTime_2024_06_04_09_14_0016_lat_10.3014760_lon_105.2718599_alt_20.177m__p003,DJI_DateTime_2024_06_04_09_14_0016_lat_10.3014760_lon_105.2718599_alt_20.177m,640,480,640,480,78549,0
DJI_DateTime_2024_06_04_09_14_0017_lat_10.3015244_lon_105.2718290_alt_20.243m,train,DJI_DateTime_2024_06_04_09_14_0017_lat_10.3015244_lon_105.2718290_alt_20.243m__p000,DJI_DateTime_2024_06_04_09_14_0017_lat_10.3015244_lon_105.2718290_alt_20.243m,0,0,640,480,2355,0
DJI_DateTime_2024_06_04_09_14_0017_lat_10.3015244_lon_105.2718290_alt_20.243m,train,DJI_DateTime_2024_06_04_09_14_0017_lat_10.3015244_lon_105.2718290_alt_20.243m__p001,DJI_DateTime_2024_06_04_09_14_0017_lat_10.3015244_lon_105.2718290_alt_20.243m,640,0,640,480,132896,0
DJI_DateTime_2024_06_04_09_14_0017_lat_10.3015244_lon_105.2718290_alt_20.243m,train,DJI_DateTime_2024_06_04_09_14_0017_lat_10.3015244_lon_105.2718290_alt_20.243m__p002,DJI_DateTime_2024_06_04_09_14_0017_lat_10.3015244_lon_105.2718290_alt_20.243m,0,480,640,480,2509,0
DJI_DateTime_2024_06_04_09_14_0017_lat_10.3015244_lon_105.2718290_alt_20.243m,train,DJI_DateTime_2024_06_04_09_14_0017_lat_10.3015244_lon_105.2718290_alt_20.243m__p003,DJI_DateTime_2024_06_04_09_14_0017_lat_10.3015244_lon_105.2718290_alt_20.243m,640,480,640,480,125191,0
DJI_DateTime_2024_06_04_09_14_0018_lat_10.3015725_lon_105.2717978_alt_20.207m,train,DJI_DateTime_2024_06_04_09_14_0018_lat_10.3015725_lon_105.2717978_alt_20.207m__p001,DJI_DateTime_2024_06_04_09_14_0018_lat_10.3015725_lon_105.2717978_alt_20.207m,640,0,640,480,95086,0
DJI_DateTime_2024_06_04_09_14_0018_lat_10.3015725_lon_105.2717978_alt_20.207m,train,DJI_DateTime_2024_06_04_09_14_0018_lat_10.3015725_lon_105.2717978_alt_20.207m__p003,DJI_DateTime_2024_06_04_09_14_0018_lat_10.3015725_lon_105.2717978_alt_20.207m,640,480,640,480,133232,0
DJI_DateTime_2024_06_04_09_15_0019_lat_10.3016196_lon_105.2717662_alt_20.199m,train,DJI_DateTime_2024_06_04_09_15_0019_lat_10.3016196_lon_105.2717662_alt_20.199m__p001,DJI_DateTime_2024_06_04_09_15_0019_lat_10.3016196_lon_105.2717662_alt_20.199m,640,0,640,480,114807,0
DJI_DateTime_2024_06_04_09_15_0019_lat_10.3016196_lon_105.2717662_alt_20.199m,train,DJI_DateTime_2024_06_04_09_15_0019_lat_10.3016196_lon_105.2717662_alt_20.199m__p002,DJI_DateTime_2024_06_04_09_15_0019_lat_10.3016196_lon_105.2717662_alt_20.199m,0,480,640,480,0,1
