task_id	group	kind	config	split	seed	attempts	state
59	binary_train_multi_seed	train	configs/binary/rgb_segformer_b1.yaml	test	51	4	failed
60	binary_train_multi_seed	train	configs/binary/real_msi_unetpp_resnet34.yaml	test	42	4	failed
62	binary_train_multi_seed	train	configs/binary/real_msi_unetpp_resnet34.yaml	test	44	4	failed
66	binary_train_multi_seed	train	configs/binary/real_msi_unetpp_resnet34.yaml	test	48	4	failed
67	binary_train_multi_seed	train	configs/binary/real_msi_unetpp_resnet34.yaml	test	49	4	failed
68	binary_train_multi_seed	train	configs/binary/real_msi_unetpp_resnet34.yaml	test	50	4	failed
69	binary_train_multi_seed	train	configs/binary/real_msi_unetpp_resnet34.yaml	test	51	4	failed
70	binary_train_multi_seed	train	configs/binary/real_msi_unetpp_resnet50.yaml	test	42	4	failed
71	binary_train_multi_seed	train	configs/binary/real_msi_unetpp_resnet50.yaml	test	43	4	failed
72	binary_train_multi_seed	train	configs/binary/real_msi_unetpp_resnet50.yaml	test	44	4	failed
73	binary_train_multi_seed	train	configs/binary/real_msi_unetpp_resnet50.yaml	test	45	4	failed
74	binary_train_multi_seed	train	configs/binary/real_msi_unetpp_resnet50.yaml	test	46	4	failed
75	binary_train_multi_seed	train	configs/binary/real_msi_unetpp_resnet50.yaml	test	47	4	failed
76	binary_train_multi_seed	train	configs/binary/real_msi_unetpp_resnet50.yaml	test	48	4	failed
77	binary_train_multi_seed	train	configs/binary/real_msi_unetpp_resnet50.yaml	test	49	4	failed
78	binary_train_multi_seed	train	configs/binary/real_msi_unetpp_resnet50.yaml	test	50	4	failed
79	binary_train_multi_seed	train	configs/binary/real_msi_unetpp_resnet50.yaml	test	51	4	failed
80	binary_train_multi_seed	train	configs/binary/real_msi_deeplabv3plus_resnet34.yaml	test	42	4	failed
81	binary_train_multi_seed	train	configs/binary/real_msi_deeplabv3plus_resnet34.yaml	test	43	4	failed
82	binary_train_multi_seed	train	configs/binary/real_msi_deeplabv3plus_resnet34.yaml	test	44	4	failed
83	binary_train_multi_seed	train	configs/binary/real_msi_deeplabv3plus_resnet34.yaml	test	45	4	failed
84	binary_train_multi_seed	train	configs/binary/real_msi_deeplabv3plus_resnet34.yaml	test	46	4	failed
85	binary_train_multi_seed	train	configs/binary/real_msi_deeplabv3plus_resnet34.yaml	test	47	4	failed
86	binary_train_multi_seed	train	configs/binary/real_msi_deeplabv3plus_resnet34.yaml	test	48	4	failed
87	binary_train_multi_seed	train	configs/binary/real_msi_deeplabv3plus_resnet34.yaml	test	49	4	failed
89	binary_train_multi_seed	train	configs/binary/real_msi_deeplabv3plus_resnet34.yaml	test	51	4	failed
90	binary_train_multi_seed	train	configs/binary/real_msi_deeplabv3plus_resnet50.yaml	test	42	4	failed
91	binary_train_multi_seed	train	configs/binary/real_msi_deeplabv3plus_resnet50.yaml	test	43	4	failed
92	binary_train_multi_seed	train	configs/binary/real_msi_deeplabv3plus_resnet50.yaml	test	44	4	failed
93	binary_train_multi_seed	train	configs/binary/real_msi_deeplabv3plus_resnet50.yaml	test	45	4	failed
94	binary_train_multi_seed	train	configs/binary/real_msi_deeplabv3plus_resnet50.yaml	test	46	4	failed
95	binary_train_multi_seed	train	configs/binary/real_msi_deeplabv3plus_resnet50.yaml	test	47	4	failed
96	binary_train_multi_seed	train	configs/binary/real_msi_deeplabv3plus_resnet50.yaml	test	48	4	failed
97	binary_train_multi_seed	train	configs/binary/real_msi_deeplabv3plus_resnet50.yaml	test	49	4	failed
99	binary_train_multi_seed	train	configs/binary/real_msi_deeplabv3plus_resnet50.yaml	test	51	4	failed
100	binary_train_multi_seed	train	configs/binary/real_msi_segformer_b0.yaml	test	42	4	failed
101	binary_train_multi_seed	train	configs/binary/real_msi_segformer_b0.yaml	test	43	4	failed
102	binary_train_multi_seed	train	configs/binary/real_msi_segformer_b0.yaml	test	44	4	failed
103	binary_train_multi_seed	train	configs/binary/real_msi_segformer_b0.yaml	test	45	4	failed
104	binary_train_multi_seed	train	configs/binary/real_msi_segformer_b0.yaml	test	46	4	failed
105	binary_train_multi_seed	train	configs/binary/real_msi_segformer_b0.yaml	test	47	4	failed
106	binary_train_multi_seed	train	configs/binary/real_msi_segformer_b0.yaml	test	48	4	failed
168	binary_train_multi_seed	train	configs/binary/rgb_real_msi_segformer_b0.yaml	test	50	4	failed
169	binary_train_multi_seed	train	configs/binary/rgb_real_msi_segformer_b0.yaml	test	51	4	failed
170	binary_train_multi_seed	train	configs/binary/rgb_real_msi_segformer_b1.yaml	test	42	4	failed
171	binary_train_multi_seed	train	configs/binary/rgb_real_msi_segformer_b1.yaml	test	43	4	failed
174	binary_train_multi_seed	train	configs/binary/rgb_real_msi_segformer_b1.yaml	test	46	4	failed
175	binary_train_multi_seed	train	configs/binary/rgb_real_msi_segformer_b1.yaml	test	47	4	failed
176	binary_train_multi_seed	train	configs/binary/rgb_real_msi_segformer_b1.yaml	test	48	4	failed
177	binary_train_multi_seed	train	configs/binary/rgb_real_msi_segformer_b1.yaml	test	49	4	failed
178	binary_train_multi_seed	train	configs/binary/rgb_real_msi_segformer_b1.yaml	test	50	4	failed
179	binary_train_multi_seed	train	configs/binary/rgb_real_msi_segformer_b1.yaml	test	51	4	failed
180	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_unetpp_resnet34.yaml	test	42	4	failed
181	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_unetpp_resnet34.yaml	test	43	4	failed
182	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_unetpp_resnet34.yaml	test	44	4	failed
183	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_unetpp_resnet34.yaml	test	45	4	failed
184	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_unetpp_resnet34.yaml	test	46	4	failed
185	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_unetpp_resnet34.yaml	test	47	4	failed
186	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_unetpp_resnet34.yaml	test	48	4	failed
187	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_unetpp_resnet34.yaml	test	49	4	failed
188	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_unetpp_resnet34.yaml	test	50	4	failed
189	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_unetpp_resnet34.yaml	test	51	4	failed
190	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_unetpp_resnet50.yaml	test	42	4	failed
191	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_unetpp_resnet50.yaml	test	43	4	failed
211	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_deeplabv3plus_resnet50.yaml	test	43	4	failed
249	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_unetpp_resnet34.yaml	test	51	4	failed
253	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_unetpp_resnet50.yaml	test	45	4	failed
254	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_unetpp_resnet50.yaml	test	46	4	failed
255	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_unetpp_resnet50.yaml	test	47	4	failed
256	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_unetpp_resnet50.yaml	test	48	4	failed
257	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_unetpp_resnet50.yaml	test	49	4	failed
262	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_deeplabv3plus_resnet34.yaml	test	44	4	failed
263	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_deeplabv3plus_resnet34.yaml	test	45	4	failed
264	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_deeplabv3plus_resnet34.yaml	test	46	4	failed
267	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_deeplabv3plus_resnet34.yaml	test	49	4	failed
268	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_deeplabv3plus_resnet34.yaml	test	50	4	failed
269	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_deeplabv3plus_resnet34.yaml	test	51	4	failed
270	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_deeplabv3plus_resnet50.yaml	test	42	4	failed
271	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_deeplabv3plus_resnet50.yaml	test	43	4	failed
272	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_deeplabv3plus_resnet50.yaml	test	44	4	failed
273	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_deeplabv3plus_resnet50.yaml	test	45	4	failed
274	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_deeplabv3plus_resnet50.yaml	test	46	4	failed
275	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_deeplabv3plus_resnet50.yaml	test	47	4	failed
276	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_deeplabv3plus_resnet50.yaml	test	48	4	failed
277	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_deeplabv3plus_resnet50.yaml	test	49	4	failed
279	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_deeplabv3plus_resnet50.yaml	test	51	4	failed
280	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_segformer_b0.yaml	test	42	4	failed
281	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_segformer_b0.yaml	test	43	4	failed
282	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_segformer_b0.yaml	test	44	4	failed
283	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_segformer_b0.yaml	test	45	4	failed
284	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_segformer_b0.yaml	test	46	4	failed
285	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_segformer_b0.yaml	test	47	4	failed
286	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_segformer_b0.yaml	test	48	4	failed
287	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_segformer_b0.yaml	test	49	4	failed
288	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_segformer_b0.yaml	test	50	4	failed
289	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_segformer_b0.yaml	test	51	4	failed
290	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_segformer_b1.yaml	test	42	4	failed
291	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_segformer_b1.yaml	test	43	4	failed
292	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_segformer_b1.yaml	test	44	4	failed
293	fuzzy_train_multi_seed	train	configs/fuzzy/real_msi_segformer_b1.yaml	test	45	4	failed
302	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_real_msi_unetpp_resnet34.yaml	test	44	4	failed
305	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_real_msi_unetpp_resnet34.yaml	test	47	4	failed
313	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_real_msi_unetpp_resnet50.yaml	test	45	4	failed
314	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_real_msi_unetpp_resnet50.yaml	test	46	4	failed
315	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_real_msi_unetpp_resnet50.yaml	test	47	4	failed
316	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_real_msi_unetpp_resnet50.yaml	test	48	4	failed
317	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_real_msi_unetpp_resnet50.yaml	test	49	4	failed
322	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_real_msi_deeplabv3plus_resnet34.yaml	test	44	4	failed
324	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_real_msi_deeplabv3plus_resnet34.yaml	test	46	4	failed
325	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_real_msi_deeplabv3plus_resnet34.yaml	test	47	4	failed
326	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_real_msi_deeplabv3plus_resnet34.yaml	test	48	4	failed
327	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_real_msi_deeplabv3plus_resnet34.yaml	test	49	4	failed
328	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_real_msi_deeplabv3plus_resnet34.yaml	test	50	4	failed
330	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_real_msi_deeplabv3plus_resnet50.yaml	test	42	4	failed
331	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_real_msi_deeplabv3plus_resnet50.yaml	test	43	4	failed
332	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_real_msi_deeplabv3plus_resnet50.yaml	test	44	4	failed
333	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_real_msi_deeplabv3plus_resnet50.yaml	test	45	4	failed
334	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_real_msi_deeplabv3plus_resnet50.yaml	test	46	4	failed
335	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_real_msi_deeplabv3plus_resnet50.yaml	test	47	4	failed
337	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_real_msi_deeplabv3plus_resnet50.yaml	test	49	4	failed
340	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_real_msi_segformer_b0.yaml	test	42	4	failed
342	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_real_msi_segformer_b0.yaml	test	44	4	failed
347	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_real_msi_segformer_b0.yaml	test	49	4	failed
351	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_real_msi_segformer_b1.yaml	test	43	4	failed
356	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_real_msi_segformer_b1.yaml	test	48	4	failed
359	fuzzy_train_multi_seed	train	configs/fuzzy/rgb_real_msi_segformer_b1.yaml	test	51	4	failed
