task_id	group	kind	config	split	seed	attempts	state
16	binary_train_multi_seed	train	configs/binary/rgb_deeplabv3plus_resnet34.yaml	test	421	4	failed
18	binary_train_multi_seed	train	configs/binary/real_msi_unetpp_resnet34.yaml	test	421	4	failed
19	binary_train_multi_seed	train	configs/binary/real_msi_deeplabv3plus_resnet34.yaml	test	421	4	failed
20	binary_train_multi_seed	train	configs/binary/real_msi_segformer_b0.yaml	test	421	4	failed
21	binary_train_multi_seed	train	configs/binary/synth_msi_unetpp_resnet34.yaml	test	421	4	failed
22	binary_train_multi_seed	train	configs/binary/synth_msi_deeplabv3plus_resnet34.yaml	test	421	4	failed
23	binary_train_multi_seed	train	configs/binary/synth_msi_segformer_b0.yaml	test	421	4	failed
24	binary_train_multi_seed	train	configs/binary/rgb_real_msi_unetpp_resnet34.yaml	test	421	4	failed
25	binary_train_multi_seed	train	configs/binary/rgb_real_msi_deeplabv3plus_resnet34.yaml	test	421	4	failed
26	binary_train_multi_seed	train	configs/binary/rgb_real_msi_segformer_b0.yaml	test	421	4	failed
36	binary_train_multi_seed	train	configs/binary/synth_msi_unetpp_resnet34.yaml	test	422	4	failed
38	binary_train_multi_seed	train	configs/binary/synth_msi_segformer_b0.yaml	test	422	4	failed
42	binary_train_multi_seed	train	configs/binary/rgb_synth_msi_unetpp_resnet34.yaml	test	422	4	failed
43	binary_train_multi_seed	train	configs/binary/rgb_synth_msi_deeplabv3plus_resnet34.yaml	test	422	4	failed
44	binary_train_multi_seed	train	configs/binary/rgb_synth_msi_segformer_b0.yaml	test	422	4	failed
45	binary_train_multi_seed	train	configs/binary/rgb_unetpp_resnet34.yaml	test	423	4	failed
46	binary_train_multi_seed	train	configs/binary/rgb_deeplabv3plus_resnet34.yaml	test	423	4	failed
47	binary_train_multi_seed	train	configs/binary/rgb_segformer_b0.yaml	test	423	4	failed
49	binary_train_multi_seed	train	configs/binary/real_msi_deeplabv3plus_resnet34.yaml	test	423	4	failed
51	binary_train_multi_seed	train	configs/binary/synth_msi_unetpp_resnet34.yaml	test	423	4	failed
52	binary_train_multi_seed	train	configs/binary/synth_msi_deeplabv3plus_resnet34.yaml	test	423	4	failed
53	binary_train_multi_seed	train	configs/binary/synth_msi_segformer_b0.yaml	test	423	4	failed
54	binary_train_multi_seed	train	configs/binary/rgb_real_msi_unetpp_resnet34.yaml	test	423	4	failed
55	binary_train_multi_seed	train	configs/binary/rgb_real_msi_deeplabv3plus_resnet34.yaml	test	423	4	failed
56	binary_train_multi_seed	train	configs/binary/rgb_real_msi_segformer_b0.yaml	test	423	4	failed
57	binary_train_multi_seed	train	configs/binary/rgb_synth_msi_unetpp_resnet34.yaml	test	423	4	failed
58	binary_train_multi_seed	train	configs/binary/rgb_synth_msi_deeplabv3plus_resnet34.yaml	test	423	4	failed
59	binary_train_multi_seed	train	configs/binary/rgb_synth_msi_segformer_b0.yaml	test	423	4	failed
60	binary_train_multi_seed	train	configs/binary/rgb_unetpp_resnet34.yaml	test	424	4	failed
62	binary_train_multi_seed	train	configs/binary/rgb_segformer_b0.yaml	test	424	4	failed
63	binary_train_multi_seed	train	configs/binary/real_msi_unetpp_resnet34.yaml	test	424	4	failed
64	binary_train_multi_seed	train	configs/binary/real_msi_deeplabv3plus_resnet34.yaml	test	424	4	failed
65	binary_train_multi_seed	train	configs/binary/real_msi_segformer_b0.yaml	test	424	4	failed
66	binary_train_multi_seed	train	configs/binary/synth_msi_unetpp_resnet34.yaml	test	424	4	failed
67	binary_train_multi_seed	train	configs/binary/synth_msi_deeplabv3plus_resnet34.yaml	test	424	4	failed
68	binary_train_multi_seed	train	configs/binary/synth_msi_segformer_b0.yaml	test	424	4	failed
69	binary_train_multi_seed	train	configs/binary/rgb_real_msi_unetpp_resnet34.yaml	test	424	4	failed
70	binary_train_multi_seed	train	configs/binary/rgb_real_msi_deeplabv3plus_resnet34.yaml	test	424	4	failed
71	binary_train_multi_seed	train	configs/binary/rgb_real_msi_segformer_b0.yaml	test	424	4	failed
72	binary_train_multi_seed	train	configs/binary/rgb_synth_msi_unetpp_resnet34.yaml	test	424	4	failed
