# group	kind	config	split
binary_baseline	baseline	configs/binary/rgb.yaml	test
binary_baseline	baseline	configs/binary/rgb_unetpp_resnet34.yaml	test
binary_baseline	baseline	configs/binary/rgb_unetpp_resnet50.yaml	test
binary_baseline	baseline	configs/binary/rgb_deeplabv3plus_resnet34.yaml	test
binary_baseline	baseline	configs/binary/rgb_deeplabv3plus_resnet50.yaml	test
binary_baseline	baseline	configs/binary/rgb_segformer_b0.yaml	test
binary_baseline	baseline	configs/binary/rgb_segformer_b1.yaml	test
binary_baseline	baseline	configs/binary/real_msi.yaml	test
binary_baseline	baseline	configs/binary/real_msi_unetpp_resnet34.yaml	test
binary_baseline	baseline	configs/binary/real_msi_unetpp_resnet50.yaml	test
binary_baseline	baseline	configs/binary/real_msi_deeplabv3plus_resnet34.yaml	test
binary_baseline	baseline	configs/binary/real_msi_deeplabv3plus_resnet50.yaml	test
binary_baseline	baseline	configs/binary/real_msi_segformer_b0.yaml	test
binary_baseline	baseline	configs/binary/real_msi_segformer_b1.yaml	test
binary_baseline	baseline	configs/binary/synth_msi.yaml	test
binary_baseline	baseline	configs/binary/synth_msi_unetpp_resnet34.yaml	test
binary_baseline	baseline	configs/binary/synth_msi_unetpp_resnet50.yaml	test
binary_baseline	baseline	configs/binary/synth_msi_deeplabv3plus_resnet34.yaml	test
binary_baseline	baseline	configs/binary/synth_msi_deeplabv3plus_resnet50.yaml	test
binary_baseline	baseline	configs/binary/synth_msi_segformer_b0.yaml	test
binary_baseline	baseline	configs/binary/synth_msi_segformer_b1.yaml	test
binary_baseline	baseline	configs/binary/rgb_real_msi.yaml	test
binary_baseline	baseline	configs/binary/rgb_real_msi_unetpp_resnet34.yaml	test
binary_baseline	baseline	configs/binary/rgb_real_msi_unetpp_resnet50.yaml	test
binary_baseline	baseline	configs/binary/rgb_real_msi_deeplabv3plus_resnet34.yaml	test
binary_baseline	baseline	configs/binary/rgb_real_msi_deeplabv3plus_resnet50.yaml	test
binary_baseline	baseline	configs/binary/rgb_real_msi_segformer_b0.yaml	test
binary_baseline	baseline	configs/binary/rgb_real_msi_segformer_b1.yaml	test
binary_baseline	baseline	configs/binary/rgb_synth_msi.yaml	test
binary_baseline	baseline	configs/binary/rgb_synth_msi_unetpp_resnet34.yaml	test
binary_baseline	baseline	configs/binary/rgb_synth_msi_unetpp_resnet50.yaml	test
binary_baseline	baseline	configs/binary/rgb_synth_msi_deeplabv3plus_resnet34.yaml	test
binary_baseline	baseline	configs/binary/rgb_synth_msi_deeplabv3plus_resnet50.yaml	test
binary_baseline	baseline	configs/binary/rgb_synth_msi_segformer_b0.yaml	test
binary_baseline	baseline	configs/binary/rgb_synth_msi_segformer_b1.yaml	test
